type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type,ln_fixed acidity,ln_volatile acidity,ln_citric acid,ln_residual sugar,ln_chlorides,ln_free sulfur dioxide,ln_total sulfur dioxide,ln_density,ln_pH,ln_sulphates,ln_alcohol,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type,ln_fixed acidity,ln_volatile acidity,ln_citric acid,ln_residual sugar,ln_chlorides,ln_free sulfur dioxide,ln_total sulfur dioxide,ln_density,ln_pH,ln_sulphates,ln_alcohol,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,0,1.945910149,-1.30933332,-1.021651248,3.0301337,-3.101092789,3.80666249,5.135798437,0.0009995,1.098612289,-0.798507696,2.174751721,0,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,0,1.945910149,-1.30933332,-1.021651248,3.0301337,-3.101092789,3.80666249,5.135798437,0.0009995,1.098612289,-0.798507696,2.174751721,0,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6
0,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,0,1.840549633,-1.203972804,-1.078809661,0.470003629,-3.015934981,2.63905733,4.882801923,-0.006018072,1.193922468,-0.713349888,2.251291799,0,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,0,1.840549633,-1.203972804,-1.078809661,0.470003629,-3.015934981,2.63905733,4.882801923,-0.006018072,1.193922468,-0.713349888,2.251291799,0,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
0,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,0,2.091864062,-1.272965676,-0.916290732,1.931521412,-2.995732274,3.401197382,4.574710979,-0.004912044,1.181727195,-0.820980552,2.312535424,0,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,0,2.091864062,-1.272965676,-0.916290732,1.931521412,-2.995732274,3.401197382,4.574710979,-0.004912044,1.181727195,-0.820980552,2.312535424,0,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6
0,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,0,1.974081026,-1.46967597,-1.139434283,2.140066163,-2.847312268,3.850147602,5.225746674,-0.004409708,1.160020917,-0.916290732,2.292534757,0,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,0,1.974081026,-1.46967597,-1.139434283,2.140066163,-2.847312268,3.850147602,5.225746674,-0.004409708,1.160020917,-0.916290732,2.292534757,0,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6
0,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,0,1.974081026,-1.46967597,-1.139434283,2.140066163,-2.847312268,3.850147602,5.225746674,-0.004409708,1.160020917,-0.916290732,2.292534757,0,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,0,1.974081026,-1.46967597,-1.139434283,2.140066163,-2.847312268,3.850147602,5.225746674,-0.004409708,1.160020917,-0.916290732,2.292534757,0,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6
0,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,0,2.091864062,-1.272965676,-0.916290732,1.931521412,-2.995732274,3.401197382,4.574710979,-0.004912044,1.181727195,-0.820980552,2.312535424,0,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,0,2.091864062,-1.272965676,-0.916290732,1.931521412,-2.995732274,3.401197382,4.574710979,-0.004912044,1.181727195,-0.820980552,2.312535424,0,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6
0,6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,0,1.824549292,-1.139434283,-1.832581464,1.945910149,-3.101092789,3.401197382,4.912654886,-0.005113049,1.156881197,-0.755022584,2.261763098,0,6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,0,1.824549292,-1.139434283,-1.832581464,1.945910149,-3.101092789,3.401197382,4.912654886,-0.005113049,1.156881197,-0.755022584,2.261763098,0,6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6
0,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,0,1.945910149,-1.30933332,-1.021651248,3.0301337,-3.101092789,3.80666249,5.135798437,0.0009995,1.098612289,-0.798507696,2.174751721,0,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,0,1.945910149,-1.30933332,-1.021651248,3.0301337,-3.101092789,3.80666249,5.135798437,0.0009995,1.098612289,-0.798507696,2.174751721,0,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6
0,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,0,1.840549633,-1.203972804,-1.078809661,0.470003629,-3.015934981,2.63905733,4.882801923,-0.006018072,1.193922468,-0.713349888,2.251291799,0,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,0,1.840549633,-1.203972804,-1.078809661,0.470003629,-3.015934981,2.63905733,4.882801923,-0.006018072,1.193922468,-0.713349888,2.251291799,0,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
0,8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,0,2.091864062,-1.514127733,-0.84397007,0.405465108,-3.123565645,3.33220451,4.859812404,-0.0062193,1.16938136,-0.798507696,2.397895273,0,8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,0,2.091864062,-1.514127733,-0.84397007,0.405465108,-3.123565645,3.33220451,4.859812404,-0.0062193,1.16938136,-0.798507696,2.397895273,0,8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6
