CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,ln_CRIM,ln_ZN,ln_INDUS,ln_CHAS,ln_NOX,ln_RM,ln_AGE,ln_DIS,ln_RAD,ln_TAX,ln_PTRATIO,ln_B,ln_LSTAT,MEDV
0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,-5.064036071,2.890371758,0.837247525,0,-0.619896719,1.883274578,4.177459469,1.40854497,0,5.690359454,2.727852828,5.98368436,1.605429891,24
0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,-3.600502343,0,1.95586048,0,-0.757152511,1.859573869,4.368181228,1.602836169,0.693147181,5.488937726,2.879198457,5.98368436,2.212660385,21.6
0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,-3.601234944,0,1.95586048,0,-0.757152511,1.97199552,4.112511866,1.602836169,0.693147181,5.488937726,2.879198457,5.973376948,1.393766376,34.7
0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,-3.430523211,0,0.779324877,0,-0.780886095,1.945624394,3.824284091,1.802072771,1.098612289,5.402677382,2.928523524,5.977948617,1.078409581,33.4
0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,-2.672924399,0,0.779324877,0,-0.780886095,1.966692688,3.992680908,1.802072771,1.098612289,5.402677382,2.928523524,5.98368436,1.673351238,36.2
0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,-3.511570439,0,0.779324877,0,-0.780886095,1.860974538,4.072439727,1.802072771,1.098612289,5.402677382,2.928523524,5.976655431,1.650579856,28.7
0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.43,-2.427128428,2.525728644,2.063058062,0,-0.646263595,1.793757472,4.198704578,1.715688032,1.609437912,5.739792912,2.721295428,5.9804036,2.520112906,22.9
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15,-1.934129811,2.525728644,2.063058062,0,-0.646263595,1.820022935,4.565389316,1.78347525,1.609437912,5.739792912,2.721295428,5.98368436,2.952302716,27.1
0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,386.63,29.93,-1.554760351,2.525728644,2.063058062,0,-0.646263595,1.728287046,4.605170186,1.805350031,1.609437912,5.739792912,2.721295428,5.957468163,3.398861322,16.5
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,-1.771721575,2.525728644,2.063058062,0,-0.646263595,1.792425914,4.453183829,1.885871962,1.609437912,5.739792912,2.721295428,5.957675058,2.839078464,18.9
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45,-1.492143885,2.525728644,2.063058062,0,-0.646263595,1.852697767,4.54648119,1.847934993,1.609437912,5.739792912,2.721295428,5.972587491,3.017982882,15
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27,-2.141572297,2.525728644,2.063058062,0,-0.646263595,1.793258345,4.417635062,1.828846497,1.609437912,5.739792912,2.721295428,5.98368436,2.585505848,18.9
0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,390.5,15.71,-2.366803665,2.525728644,2.063058062,0,-0.646263595,1.773086204,3.663561646,1.695780733,1.609437912,5.739792912,2.721295428,5.967427969,2.754297452,21.7
0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,396.9,8.26,-0.462416485,0,2.09679018,0,-0.619896719,1.783223138,4.123903364,1.549156982,1.386294361,5.726847748,3.044522438,5.98368436,2.111424588,20.4
0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,380.02,10.26,-0.449479694,0,2.09679018,0,-0.619896719,1.807632818,4.436751534,1.495574684,1.386294361,5.726847748,3.044522438,5.940223883,2.32825284,18.2
0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,395.62,8.47,-0.466186922,0,2.09679018,0,-0.619896719,1.763702871,4.034240638,1.503766237,1.386294361,5.726847748,3.044522438,5.980454155,2.136530509,19.9
1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,386.85,6.58,0.052526034,0,2.09679018,0,-0.619896719,1.780867028,3.377587516,1.503766237,1.386294361,5.726847748,3.044522438,5.958037021,1.884034745,23.1
0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21,386.75,14.67,-0.243091189,0,2.09679018,0,-0.619896719,1.790091412,4.403054002,1.448776081,1.386294361,5.726847748,3.044522438,5.957778489,2.685804592,17.5
0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,288.99,11.69,-0.219761776,0,2.09679018,0,-0.619896719,1.696715921,3.60004824,1.33407959,1.386294361,5.726847748,3.044522438,5.666392085,2.458733775,20.2
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,390.95,11.28,-0.320480784,0,2.09679018,0,-0.619896719,1.745191833,4.241326753,1.33407959,1.386294361,5.726847748,3.044522438,5.968579675,2.423031246,18.2
1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,376.57,21.02,0.224574527,0,2.09679018,0,-0.619896719,1.717395054,4.585987367,1.334448282,1.386294361,5.726847748,3.044522438,5.931103953,3.045474365,13.6
0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,392.53,13.83,-0.160121805,0,2.09679018,0,-0.619896719,1.785909056,4.49088104,1.389364643,1.386294361,5.726847748,3.044522438,5.972612967,2.626840146,19.6
1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,396.9,18.72,0.209020286,0,2.09679018,0,-0.619896719,1.815150422,4.518522379,1.380502621,1.386294361,5.726847748,3.044522438,5.98368436,2.929592471,15.2
0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,394.54,19.88,-0.011637453,0,2.09679018,0,-0.619896719,1.760096789,4.605170186,1.409815556,1.386294361,5.726847748,3.044522438,5.977720529,2.989714201,14.5
0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,394.33,16.3,-0.287335466,0,2.09679018,0,-0.619896719,1.779011896,4.544358047,1.481513628,1.386294361,5.726847748,3.044522438,5.977188122,2.791165108,15.6
0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,303.42,16.51,-0.173710737,0,2.09679018,0,-0.619896719,1.72258801,4.450852826,1.49393727,1.386294361,5.726847748,3.044522438,5.715117984,2.803966258,13.9
0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,376.88,14.81,-0.397630876,0,2.09679018,0,-0.619896719,1.760096789,4.50313746,1.543725369,1.386294361,5.726847748,3.044522438,5.931926834,2.695302628,16.6
0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,306.38,17.28,-0.045237981,0,2.09679018,0,-0.619896719,1.799562281,4.48638665,1.493667849,1.386294361,5.726847748,3.044522438,5.724826162,2.849549763,14.8
0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,387.94,12.8,-0.257489167,0,2.09679018,0,-0.619896719,1.87103265,4.547541073,1.493959719,1.386294361,5.726847748,3.044522438,5.960850688,2.549445171,18.4
1.00245,0,8.14,0,0.538,6.674,87.3,4.239,4,307,21,380.23,11.98,0.002447004,0,2.09679018,0,-0.619896719,1.89821938,4.469350463,1.444327392,1.386294361,5.726847748,3.044522438,5.940776333,2.483238593,21
