cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,ln_cement,ln_blast_furnace_slag,ln_fly_ash,ln_water,ln_superplasticizer,ln_coarse_aggregate,ln_fine_aggregate ,ln_age,concrete_compressive_strength
540,0,0,162,2.5,1040,676,28,6.29156914,0,0,5.087596335,0.916290732,6.946975992,6.516193076,3.33220451,79.99
540,0,0,162,2.5,1055,676,28,6.29156914,0,0,5.087596335,0.916290732,6.961296046,6.516193076,3.33220451,61.89
332.5,142.5,0,228,0,932,594,270,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,5.598421959,40.27
332.5,142.5,0,228,0,932,594,365,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,5.899897354,41.05
198.6,132.4,0,192,0,978.4,825.5,360,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,5.886104031,44.3
266,114,0,228,0,932,670,90,5.583496309,4.736198448,0,5.429345629,0,6.837332815,6.507277712,4.49980967,47.03
380,95,0,228,0,932,594,365,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,5.899897354,43.7
380,95,0,228,0,932,594,28,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,3.33220451,36.45
266,114,0,228,0,932,670,28,5.583496309,4.736198448,0,5.429345629,0,6.837332815,6.507277712,3.33220451,45.85
475,0,0,228,0,932,594,28,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,3.33220451,39.29
198.6,132.4,0,192,0,978.4,825.5,90,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,4.49980967,38.07
198.6,132.4,0,192,0,978.4,825.5,28,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,3.33220451,28.02
427.5,47.5,0,228,0,932,594,270,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,5.598421959,43.01
190,190,0,228,0,932,670,90,5.247024072,5.247024072,0,5.429345629,0,6.837332815,6.507277712,4.49980967,42.33
304,76,0,228,0,932,670,28,5.717027701,4.33073334,0,5.429345629,0,6.837332815,6.507277712,3.33220451,47.81
380,0,0,228,0,932,670,90,5.940171253,0,0,5.429345629,0,6.837332815,6.507277712,4.49980967,52.91
139.6,209.4,0,192,0,1047,806.9,90,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,4.49980967,39.36
342,38,0,228,0,932,670,365,5.834810737,3.63758616,0,5.429345629,0,6.837332815,6.507277712,5.899897354,56.14
380,95,0,228,0,932,594,90,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,4.49980967,40.56
475,0,0,228,0,932,594,180,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,5.192956851,42.62
427.5,47.5,0,228,0,932,594,180,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,5.192956851,41.84
139.6,209.4,0,192,0,1047,806.9,28,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,3.33220451,28.24
139.6,209.4,0,192,0,1047,806.9,3,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,1.098612289,8.06
139.6,209.4,0,192,0,1047,806.9,180,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,5.192956851,44.21
380,0,0,228,0,932,670,365,5.940171253,0,0,5.429345629,0,6.837332815,6.507277712,5.899897354,52.52
380,0,0,228,0,932,670,270,5.940171253,0,0,5.429345629,0,6.837332815,6.507277712,5.598421959,53.3
380,95,0,228,0,932,594,270,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,5.598421959,41.15
342,38,0,228,0,932,670,180,5.834810737,3.63758616,0,5.429345629,0,6.837332815,6.507277712,5.192956851,52.12
427.5,47.5,0,228,0,932,594,28,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,3.33220451,37.43
475,0,0,228,0,932,594,7,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,1.945910149,38.6
304,76,0,228,0,932,670,365,5.717027701,4.33073334,0,5.429345629,0,6.837332815,6.507277712,5.899897354,55.26
266,114,0,228,0,932,670,365,5.583496309,4.736198448,0,5.429345629,0,6.837332815,6.507277712,5.899897354,52.91
198.6,132.4,0,192,0,978.4,825.5,180,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,5.192956851,41.72
475,0,0,228,0,932,594,270,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,5.598421959,42.13
190,190,0,228,0,932,670,365,5.247024072,5.247024072,0,5.429345629,0,6.837332815,6.507277712,5.899897354,53.69
237.5,237.5,0,228,0,932,594,270,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,5.598421959,38.41
237.5,237.5,0,228,0,932,594,28,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,3.33220451,30.08
332.5,142.5,0,228,0,932,594,90,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,4.49980967,37.72
475,0,0,228,0,932,594,90,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,4.49980967,42.23
237.5,237.5,0,228,0,932,594,180,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,5.192956851,36.25
342,38,0,228,0,932,670,90,5.834810737,3.63758616,0,5.429345629,0,6.837332815,6.507277712,4.49980967,50.46
427.5,47.5,0,228,0,932,594,365,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,5.899897354,43.7
237.5,237.5,0,228,0,932,594,365,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,5.899897354,39
380,0,0,228,0,932,670,180,5.940171253,0,0,5.429345629,0,6.837332815,6.507277712,5.192956851,53.1
427.5,47.5,0,228,0,932,594,90,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,4.49980967,41.54
427.5,47.5,0,228,0,932,594,7,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,1.945910149,35.08
349,0,0,192,0,1047,806.9,3,5.855071922,0,0,5.257495372,0,6.953684211,6.693199745,1.098612289,15.05
380,95,0,228,0,932,594,180,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,5.192956851,40.76
237.5,237.5,0,228,0,932,594,7,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,1.945910149,26.26
380,95,0,228,0,932,594,7,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,1.945910149,32.82
332.5,142.5,0,228,0,932,594,180,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,5.192956851,39.78
190,190,0,228,0,932,670,180,5.247024072,5.247024072,0,5.429345629,0,6.837332815,6.507277712,5.192956851,46.93
237.5,237.5,0,228,0,932,594,90,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,4.49980967,33.12
304,76,0,228,0,932,670,90,5.717027701,4.33073334,0,5.429345629,0,6.837332815,6.507277712,4.49980967,49.19
139.6,209.4,0,192,0,1047,806.9,7,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,1.945910149,14.59
198.6,132.4,0,192,0,978.4,825.5,7,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,1.945910149,14.64
475,0,0,228,0,932,594,365,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,5.899897354,41.93
198.6,132.4,0,192,0,978.4,825.5,3,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,1.098612289,9.13
304,76,0,228,0,932,670,180,5.717027701,4.33073334,0,5.429345629,0,6.837332815,6.507277712,5.192956851,50.95
332.5,142.5,0,228,0,932,594,28,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,3.33220451,33.02
304,76,0,228,0,932,670,270,5.717027701,4.33073334,0,5.429345629,0,6.837332815,6.507277712,5.598421959,54.38
266,114,0,228,0,932,670,270,5.583496309,4.736198448,0,5.429345629,0,6.837332815,6.507277712,5.598421959,51.73
310,0,0,192,0,971,850.6,3,5.736572297,0,0,5.257495372,0,6.878326468,6.745941983,1.098612289,9.87
190,190,0,228,0,932,670,270,5.247024072,5.247024072,0,5.429345629,0,6.837332815,6.507277712,5.598421959,50.66
266,114,0,228,0,932,670,180,5.583496309,4.736198448,0,5.429345629,0,6.837332815,6.507277712,5.192956851,48.7
342,38,0,228,0,932,670,270,5.834810737,3.63758616,0,5.429345629,0,6.837332815,6.507277712,5.598421959,55.06
139.6,209.4,0,192,0,1047,806.9,360,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,5.886104031,44.7
332.5,142.5,0,228,0,932,594,7,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,1.945910149,30.28
190,190,0,228,0,932,670,28,5.247024072,5.247024072,0,5.429345629,0,6.837332815,6.507277712,3.33220451,40.86
485,0,0,146,0,1120,800,28,6.184148891,0,0,4.983606622,0,7.021083964,6.684611728,3.33220451,71.99
374,189.2,0,170.1,10.1,926.1,756.7,3,5.924255797,5.242804657,0,5.136386499,2.312535424,6.83098222,6.628966874,1.098612289,34.4
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,5.747161198,5.569107571,0,5.167639043,2.151762203,6.953588695,6.416405432,1.098612289,28.8
425,106.3,0,153.5,16.5,852.1,887.1,3,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,1.098612289,33.4
425,106.3,0,151.4,18.6,936,803.7,3,6.052089169,4.666265285,0,5.019925341,2.923161581,6.841615476,6.689226065,1.098612289,36.3
375,93.8,0,126.6,23.4,852.1,992.6,3,5.926926026,4.541164856,0,4.84103251,3.152736022,6.747703891,6.900327763,1.098612289,29
475,118.8,0,181.1,8.9,852.1,781.5,3,6.163314804,4.777441407,0,5.199049365,2.186051277,6.747703891,6.66121515,1.098612289,37.8
469,117.2,0,137.8,32.2,852.1,840.5,3,6.150602768,4.763881877,0,4.925803359,3.471966453,6.747703891,6.733996953,1.098612289,40.2
425,106.3,0,153.5,16.5,852.1,887.1,3,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,1.098612289,33.4
388.6,97.1,0,157.9,12.1,852.1,925.7,3,5.962550537,4.575741375,0,5.061961921,2.493205453,6.747703891,6.830550208,1.098612289,28.1
531.3,0,0,141.8,28.2,852.1,893.7,3,6.275326833,0,0,4.954417614,3.339321978,6.747703891,6.795370148,1.098612289,41.3
425,106.3,0,153.5,16.5,852.1,887.1,3,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,1.098612289,33.4
318.8,212.5,0,155.7,14.3,852.1,880.4,3,5.764563947,5.358941988,0,5.047931079,2.660259537,6.747703891,6.78037635,1.098612289,25.2
401.8,94.7,0,147.4,11.4,946.8,852.1,3,5.995954452,4.550714,0,4.99314998,2.433613355,6.853087878,6.747703891,1.098612289,41.1
362.6,189,0,164.9,11.6,944.7,755.8,3,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.098612289,35.3
323.7,282.8,0,183.8,10.3,942.7,659.9,3,5.779817161,5.644739934,0,5.21384821,2.332143895,6.848748098,6.492088308,1.098612289,28.3
379.5,151.2,0,153.9,15.9,1134.3,605,3,5.938854597,5.018603464,0,5.036303041,2.766319109,7.033771,6.405228458,1.098612289,28.6
362.6,189,0,164.9,11.6,944.7,755.8,3,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.098612289,35.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,5.657040212,5.302807272,0,4.974662634,2.415913778,6.912344731,6.689226065,1.098612289,24.4
362.6,189,0,164.9,11.6,944.7,755.8,3,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.098612289,35.3
439,177,0,186,11.1,884.9,707.9,3,6.084499413,5.176149733,0,5.225746674,2.406945108,6.785474644,6.562302841,1.098612289,39.3
389.9,189,0,145.9,22,944.7,755.8,3,5.965890296,5.241747015,0,4.982921456,3.091042453,6.850867417,6.627776791,1.098612289,40.6
362.6,189,0,164.9,11.6,944.7,755.8,3,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.098612289,35.3
337.9,189,0,174.9,9.5,944.7,755.8,3,5.822749994,5.241747015,0,5.164214382,2.251291799,6.850867417,6.627776791,1.098612289,24.1
374,189.2,0,170.1,10.1,926.1,756.7,7,5.924255797,5.242804657,0,5.136386499,2.312535424,6.83098222,6.628966874,1.945910149,46.2
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,5.747161198,5.569107571,0,5.167639043,2.151762203,6.953588695,6.416405432,1.945910149,42.8
425,106.3,0,153.5,16.5,852.1,887.1,7,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,1.945910149,49.2
425,106.3,0,151.4,18.6,936,803.7,7,6.052089169,4.666265285,0,5.019925341,2.923161581,6.841615476,6.689226065,1.945910149,46.8
375,93.8,0,126.6,23.4,852.1,992.6,7,5.926926026,4.541164856,0,4.84103251,3.152736022,6.747703891,6.900327763,1.945910149,45.7
475,118.8,0,181.1,8.9,852.1,781.5,7,6.163314804,4.777441407,0,5.199049365,2.186051277,6.747703891,6.66121515,1.945910149,55.6
469,117.2,0,137.8,32.2,852.1,840.5,7,6.150602768,4.763881877,0,4.925803359,3.471966453,6.747703891,6.733996953,1.945910149,54.9
425,106.3,0,153.5,16.5,852.1,887.1,7,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,1.945910149,49.2
388.6,97.1,0,157.9,12.1,852.1,925.7,7,5.962550537,4.575741375,0,5.061961921,2.493205453,6.747703891,6.830550208,1.945910149,34.9
531.3,0,0,141.8,28.2,852.1,893.7,7,6.275326833,0,0,4.954417614,3.339321978,6.747703891,6.795370148,1.945910149,46.9
425,106.3,0,153.5,16.5,852.1,887.1,7,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,1.945910149,49.2
318.8,212.5,0,155.7,14.3,852.1,880.4,7,5.764563947,5.358941988,0,5.047931079,2.660259537,6.747703891,6.78037635,1.945910149,33.4
401.8,94.7,0,147.4,11.4,946.8,852.1,7,5.995954452,4.550714,0,4.99314998,2.433613355,6.853087878,6.747703891,1.945910149,54.1
362.6,189,0,164.9,11.6,944.7,755.8,7,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.945910149,55.9
323.7,282.8,0,183.8,10.3,942.7,659.9,7,5.779817161,5.644739934,0,5.21384821,2.332143895,6.848748098,6.492088308,1.945910149,49.8
379.5,151.2,0,153.9,15.9,1134.3,605,7,5.938854597,5.018603464,0,5.036303041,2.766319109,7.033771,6.405228458,1.945910149,47.1
