cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,ln_cement,ln_blast_furnace_slag,ln_fly_ash,ln_water,ln_superplasticizer,ln_coarse_aggregate,ln_fine_aggregate ,ln_age,log10_ln_cement,log10_ln_blast_furnace_slag,log10_ln_fly_ash,log10_ln_water,log10_ln_superplasticizer,log10_ln_coarse_aggregate,log10_ln_fine_aggregate ,log10_ln_age,concrete_compressive_strength
540,0,0,162,2.5,1040,676,28,6.29156914,0,0,5.087596335,0.916290732,6.946975992,6.516193076,3.33220451,2.73239376,0,0,2.209515015,0.397940009,3.017033339,2.829946696,1.447158031,79.99
540,0,0,162,2.5,1055,676,28,6.29156914,0,0,5.087596335,0.916290732,6.961296046,6.516193076,3.33220451,2.73239376,0,0,2.209515015,0.397940009,3.02325246,2.829946696,1.447158031,61.89
332.5,142.5,0,228,0,932,594,270,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,5.598421959,2.52179165,2.153814864,0,2.357934847,0,2.969415912,2.773786445,2.431363764,40.27
332.5,142.5,0,228,0,932,594,365,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,5.899897354,2.52179165,2.153814864,0,2.357934847,0,2.969415912,2.773786445,2.562292864,41.05
198.6,132.4,0,192,0,978.4,825.5,360,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,5.886104031,2.297979244,2.121887985,0,2.283301229,0,2.990516444,2.916717078,2.556302501,44.3
266,114,0,228,0,932,670,90,5.583496309,4.736198448,0,5.429345629,0,6.837332815,6.507277712,4.49980967,2.424881637,2.056904851,0,2.357934847,0,2.969415912,2.826074803,1.954242509,47.03
380,95,0,228,0,932,594,365,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,5.899897354,2.579783597,1.977723605,0,2.357934847,0,2.969415912,2.773786445,2.562292864,43.7
380,95,0,228,0,932,594,28,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,3.33220451,2.579783597,1.977723605,0,2.357934847,0,2.969415912,2.773786445,1.447158031,36.45
266,114,0,228,0,932,670,28,5.583496309,4.736198448,0,5.429345629,0,6.837332815,6.507277712,3.33220451,2.424881637,2.056904851,0,2.357934847,0,2.969415912,2.826074803,1.447158031,45.85
475,0,0,228,0,932,594,28,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,3.33220451,2.67669361,0,0,2.357934847,0,2.969415912,2.773786445,1.447158031,39.29
198.6,132.4,0,192,0,978.4,825.5,90,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,4.49980967,2.297979244,2.121887985,0,2.283301229,0,2.990516444,2.916717078,1.954242509,38.07
198.6,132.4,0,192,0,978.4,825.5,28,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,3.33220451,2.297979244,2.121887985,0,2.283301229,0,2.990516444,2.916717078,1.447158031,28.02
