cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,ln_cement,ln_blast_furnace_slag,ln_fly_ash,ln_water,ln_superplasticizer,ln_coarse_aggregate,ln_fine_aggregate ,ln_age,sqrt_cement,sqrt_blast_furnace_slag,sqrt_fly_ash,sqrt_water,sqrt_superplasticizer,sqrt_coarse_aggregate,sqrt_fine_aggregate ,sqrt_age,log2_cement,log2_blast_furnace_slag,log2_fly_ash,log2_water,log2_superplasticizer,log2_coarse_aggregate,log2_fine_aggregate ,log2_age,log10_ln_cement,log10_ln_blast_furnace_slag,log10_ln_fly_ash,log10_ln_water,log10_ln_superplasticizer,log10_ln_coarse_aggregate,log10_ln_fine_aggregate ,log10_ln_age,sqrt2_log2_cement,sqrt2_log2_blast_furnace_slag,sqrt2_log2_fly_ash,sqrt2_log2_water,sqrt2_log2_superplasticizer,sqrt2_log2_coarse_aggregate,sqrt2_log2_fine_aggregate ,sqrt2_log2_age,cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,concrete_compressive_strength
540,0,0,162,2.5,1040,676,28,6.29156914,0,0,5.087596335,0.916290732,6.946975992,6.516193076,3.33220451,23.23790008,0,0,12.72792206,1.58113883,32.24903099,26,5.291502622,9.076815597,0,0,7.339850003,1.321928095,10.02236781,9.400879436,4.807354922,2.73239376,0,0,2.209515015,0.397940009,3.017033339,2.829946696,1.447158031,4.820570514,0,0,3.567621345,1.25743343,5.678823029,5.099019514,2.300326634,540,0,0,162,2.5,1040,676,28,79.99
540,0,0,162,2.5,1055,676,28,6.29156914,0,0,5.087596335,0.916290732,6.961296046,6.516193076,3.33220451,23.23790008,0,0,12.72792206,1.58113883,32.48076354,26,5.291502622,9.076815597,0,0,7.339850003,1.321928095,10.04302728,9.400879436,4.807354922,2.73239376,0,0,2.209515015,0.397940009,3.02325246,2.829946696,1.447158031,4.820570514,0,0,3.567621345,1.25743343,5.699189726,5.099019514,2.300326634,540,0,0,162,2.5,1055,676,28,61.89
332.5,142.5,0,228,0,932,594,270,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,5.598421959,18.23458253,11.93733639,0,15.09966887,0,30.52867504,24.37211521,16.43167673,8.37721053,7.154818109,0,7.832890014,0,9.864186145,9.214319121,8.076815597,2.52179165,2.153814864,0,2.357934847,0,2.969415912,2.773786445,2.431363764,4.270197013,3.455045063,0,3.885829238,0,5.525276015,4.936812252,4.053600464,332.5,142.5,0,228,0,932,594,270,40.27
332.5,142.5,0,228,0,932,594,365,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,5.899897354,18.23458253,11.93733639,0,15.09966887,0,30.52867504,24.37211521,19.10497317,8.37721053,7.154818109,0,7.832890014,0,9.864186145,9.214319121,8.511752654,2.52179165,2.153814864,0,2.357934847,0,2.969415912,2.773786445,2.562292864,4.270197013,3.455045063,0,3.885829238,0,5.525276015,4.936812252,4.370923607,332.5,142.5,0,228,0,932,594,365,41.05
198.6,132.4,0,192,0,978.4,825.5,360,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,5.886104031,14.09255122,11.50651989,0,13.85640646,0,31.27938618,28.7315158,18.97366596,7.633721813,7.048759312,0,7.584962501,0,9.934280594,9.689124405,8.491853096,2.297979244,2.121887985,0,2.283301229,0,2.990516444,2.916717078,2.556302501,3.754004692,3.392126161,0,3.722419436,0,5.592797706,5.360178709,4.355877175,198.6,132.4,0,192,0,978.4,825.5,360,44.3
266,114,0,228,0,932,670,90,5.583496309,4.736198448,0,5.429345629,0,6.837332815,6.507277712,4.49980967,16.30950643,10.67707825,0,15.09966887,0,30.52867504,25.88435821,9.486832981,8.055282436,6.832890014,0,7.832890014,0,9.864186145,9.388017285,6.491853096,2.424881637,2.056904851,0,2.357934847,0,2.969415912,2.826074803,1.954242509,4.038502994,3.267579877,0,3.885829238,0,5.525276015,5.087667266,3.080070288,266,114,0,228,0,932,670,90,47.03
380,95,0,228,0,932,594,365,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,5.899897354,19.49358869,9.746794345,0,15.09966887,0,30.52867504,24.37211521,19.10497317,8.569855608,6.569855608,0,7.832890014,0,9.864186145,9.214319121,8.511752654,2.579783597,1.977723605,0,2.357934847,0,2.969415912,2.773786445,2.562292864,4.415154436,3.121985641,0,3.885829238,0,5.525276015,4.936812252,4.370923607,380,95,0,228,0,932,594,365,43.7
380,95,0,228,0,932,594,28,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,3.33220451,19.49358869,9.746794345,0,15.09966887,0,30.52867504,24.37211521,5.291502622,8.569855608,6.569855608,0,7.832890014,0,9.864186145,9.214319121,4.807354922,2.579783597,1.977723605,0,2.357934847,0,2.969415912,2.773786445,1.447158031,4.415154436,3.121985641,0,3.885829238,0,5.525276015,4.936812252,2.300326634,380,95,0,228,0,932,594,28,36.45
266,114,0,228,0,932,670,28,5.583496309,4.736198448,0,5.429345629,0,6.837332815,6.507277712,3.33220451,16.30950643,10.67707825,0,15.09966887,0,30.52867504,25.88435821,5.291502622,8.055282436,6.832890014,0,7.832890014,0,9.864186145,9.388017285,4.807354922,2.424881637,2.056904851,0,2.357934847,0,2.969415912,2.826074803,1.447158031,4.038502994,3.267579877,0,3.885829238,0,5.525276015,5.087667266,2.300326634,266,114,0,228,0,932,670,28,45.85
475,0,0,228,0,932,594,28,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,3.33220451,21.79449472,0,0,15.09966887,0,30.52867504,24.37211521,5.291502622,8.891783703,0,0,7.832890014,0,9.864186145,9.214319121,4.807354922,2.67669361,0,0,2.357934847,0,2.969415912,2.773786445,1.447158031,4.668457424,0,0,3.885829238,0,5.525276015,4.936812252,2.300326634,475,0,0,228,0,932,594,28,39.29
