fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,ln_fixed acidity,ln_volatile acidity,ln_citric acid,ln_residual sugar,ln_chlorides,ln_free sulfur dioxide,ln_total sulfur dioxide,ln_density,ln_pH,ln_sulphates,ln_alcohol,quality
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,2.00148,-0.356674944,-6.907755279,0.641853886,-2.577021939,2.397895273,3.526360525,-0.002202424,1.255616037,-0.579818495,2.240709689,5
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,2.054123734,-0.127833372,-6.907755279,0.955511445,-2.3227878,3.218875825,4.204692619,-0.003205131,1.16315081,-0.385662481,2.282382386,5
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,2.054123734,-0.274436846,-3.218875825,0.832909123,-2.385966702,2.708050201,3.988984047,-0.003004509,1.181727195,-0.430782916,2.282382386,5
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,2.415913778,-1.272965676,-0.579818495,0.641853886,-2.590267165,2.833213344,4.094344562,-0.002002003,1.150572028,-0.544727175,2.282382386,6
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,2.00148,-0.356674944,-6.907755279,0.641853886,-2.577021939,2.397895273,3.526360525,-0.002202424,1.255616037,-0.579818495,2.240709689,5
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,2.00148,-0.415515444,-6.907755279,0.587786665,-2.590267165,2.564949357,3.688879454,-0.002202424,1.255616037,-0.579818495,2.240709689,5
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,2.066862759,-0.510825624,-2.813410717,0.470003629,-2.673648774,2.708050201,4.077537444,-0.003606496,1.193922468,-0.776528789,2.240709689,5
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,1.987874348,-0.430782916,-6.907755279,0.182321557,-2.733368009,2.708050201,3.044522438,-0.005414633,1.220829921,-0.755022584,2.302585093,7
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,2.054123734,-0.544727175,-3.912023005,0.693147181,-2.617295838,2.197224577,2.890371758,-0.003205131,1.211940974,-0.562118918,2.251291799,7
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,2.014903021,-0.693147181,-1.021651248,1.808288771,-2.645075402,2.833213344,4.624972813,-0.002202424,1.208960346,-0.223143551,2.351375257,5
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,1.902107526,-0.544727175,-2.525728644,0.587786665,-2.3330443,2.708050201,4.17438727,-0.004108428,1.187843422,-0.616186139,2.219203484,5
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,2.014903021,-0.693147181,-1.021651248,1.808288771,-2.645075402,2.833213344,4.624972813,-0.002202424,1.208960346,-0.223143551,2.351375257,5
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,1.722766598,-0.486133011,-6.907755279,0.470003629,-2.419118909,2.772588722,4.077537444,-0.005716307,1.2753628,-0.653926467,2.292534757,5
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,2.054123734,-0.494296322,-1.237874356,0.470003629,-2.171556831,2.197224577,3.36729583,-0.002603386,1.181727195,0.444685821,2.208274414,5
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,2.186051277,-0.478035801,-1.714798428,1.335001067,-1.737271284,3.951243719,4.976733742,-0.001400981,1.150572028,-0.127833372,2.219203484,5
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,2.186051277,-0.478035801,-1.660731207,1.360976553,-1.771956842,3.931825633,4.997212274,-0.001400981,1.153731588,-0.072570693,2.219203484,5
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,2.140066163,-1.272965676,-0.579818495,0.587786665,-2.385966702,3.555348061,4.634728988,-0.003104815,1.193922468,-0.287682072,2.351375257,7
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,2.091864062,-0.579818495,-1.272965676,0.530628251,-0.999672341,2.772588722,4.025351691,-0.003205131,1.134622726,0.246860078,2.2300144,5
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,2.00148,-0.527632742,-2.525728644,1.481604541,-2.453407983,1.791759469,3.36729583,-0.002603386,1.217875709,-0.693147181,2.197224577,4
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,2.066862759,-1.139434283,-0.673344553,0.587786665,-1.075872802,2.833213344,4.025351691,-0.003104815,1.111857515,0.076961041,2.219203484,6
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,2.186051277,-1.514127733,-0.733969175,0.587786665,-2.563949857,3.36729583,4.094344562,-0.003205131,1.220829921,-0.634878272,2.240709689,6
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,2.028148247,-0.94160854,-1.171182982,0.832909123,-2.501036032,3.135494216,4.262679877,-0.001801622,1.25846099,-0.430782916,2.272125886,5
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,2.066862759,-0.84397007,-1.560647748,0.470003629,-2.244316185,2.302585093,3.610917913,-0.003405793,1.153731588,-0.094310679,2.251291799,5
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,2.140066163,-0.713349888,-2.207274913,0.832909123,-2.47693848,2.197224577,4.204692619,-0.003205131,1.153731588,-0.634878272,2.240709689,5
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,1.931521412,-0.916290732,-1.966112856,0.875468737,-2.465104022,3.044522438,3.688879454,-0.003205131,1.232560261,-0.46203546,2.272125886,6
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,1.840549633,-0.94160854,-1.832581464,0.336472237,-2.525728644,2.397895273,3.135494216,-0.004510155,1.205970807,-0.579818495,2.2300144,5
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,2.028148247,-0.891598119,-1.427116356,0.587786665,-2.525728644,1.386294361,2.397895273,-0.003807238,1.187843422,-0.527632742,2.251291799,5
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,2.066862759,-0.84397007,-1.560647748,0.470003629,-2.244316185,2.302585093,3.610917913,-0.003405793,1.153731588,-0.094310679,2.251291799,5
