f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
-4.9478855,3.798872,5.086162,6.9808507,3.164405,0.2678492,-1.160711,1.3673424,-1.5625224,0.81238717,0.9019764,0
4.736563,-4.9741855,2.270206,-3.8908427,-3.086051,-5.244979,-1.3136216,-0.08610571,1.0893726,0.42693764,1.8107078,0
-7.8490386,2.4254818,-3.8091414,3.0779786,2.4579792,-1.3127626,2.0436773,1.8728442,0.825071,-1.3625147,-0.5512552,1
1.9171498,-6.418896,-1.4688905,-2.9775093,1.5141056,-1.5864213,-3.6543121,-1.9727132,3.0882416,-1.9848403,-4.1423206,0
-4.106175,-5.4022174,-0.90881383,2.3983135,0.85536367,2.03452,-4.425737,-0.060738273,0.4467111,-0.7261724,1.9034545,1
6.2991886,-5.122973,6.9776583,-2.381384,2.2723763,1.1490934,2.0846229,4.7616806,1.0115463,2.1759036,4.9283657,1
-3.8958497,3.970909,-4.853139,-5.544657,-1.0443578,-5.27349,-2.3858554,-1.9706961,1.1164805,-0.86514467,-0.19509767,0
-3.3522437,-8.420835,1.3956251,0.1548763,0.89178014,3.2190301,-1.2106941,-1.7534493,-0.5059303,1.6941682,1.6819485,1
-7.0886455,-1.9167192,-2.9860468,4.205501,-1.4628626,0.24268143,0.519448,0.2278191,-1.1962298,0.70034736,-0.3238324,1
-2.4771667,1.4217829,5.100567,-1.6007854,-3.4564583,2.6638224,6.439278,-1.1276774,-1.1495792,1.9385817,7.561736,1
2.059694,-8.330246,1.0748944,-1.1339895,1.6052178,1.7075038,-2.5351841,-0.5817603,-0.113750674,1.3757514,0.7587503,1
1.0665276,-6.310752,-1.5153743,-4.432185,1.069044,-3.6368532,-0.5331215,-1.8082199,1.9399415,-1.9585865,-2.2867746,0
5.4976954,-3.0622916,7.98837,-1.3112819,1.2093179,-2.9020572,-4.5621467,-1.4949507,1.8714823,0.19338006,2.5835216,0
3.0397918,-4.772543,4.2485714,-4.307625,0.38574448,-1.6652616,4.5604725,5.1023917,0.5117523,1.365028,3.4885654,1
-2.59331,1.4534984,0.0011977366,3.9636717,-5.712333,-2.9973178,4.3327446,-4.9985385,1.1595839,0.6152112,-3.9604158,0
27.214458,1.4398451,-20.672121,15.052556,16.305609,-2.4936624,15.169362,-17.502563,-31.08752,-4.775601,9.72355,0
-3.7000787,1.514581,1.152277,4.870903,-4.7280717,-4.066973,1.0563314,-3.4446096,0.029361537,-0.5066175,0.101704076,0
-2.2419815,-1.8575566,3.792913,2.6990552,0.45735085,-1.4299451,-4.436116,-2.8321004,0.83266145,-1.4995654,3.4270716,0
-7.3766565,-2.606113,-6.6234484,0.8635799,-1.8064418,2.5635293,-3.0174809,1.2922093,-2.127591,-1.9656624,-2.5841866,1
5.1835947,-0.078170754,4.176454,0.2533178,-8.744805,-1.1729918,-0.0118427565,-2.006838,4.4171157,-2.5699494,1.9504995,0
-8.562144,2.8681011,-3.0570347,4.1883006,-0.57322633,-1.5726118,4.2768936,1.9616026,-0.028650869,1.0148346,-0.56204015,1
